Time [s],Pressure V1-P2 [ADC],Pressure V1-P1-Ins [ADC],Pressure V1-P1-Exp [ADC], Pressure V2-P2 [ADC],Pressure V2-P1-Ins [ADC], Pressure V2-P1-Exp [ADC]
1.494,3705,3705,1638,3869,3869,1638
1.504,4772,4772,1638,4971,4971,1638
1.514,5294,1638,5306,5539,5556,1638
1.524,5041,1638,5041,5277,5282,1638
1.534,5292,1638,5297,5464,5473,1638
1.544,5219,1638,5223,5387,5395,1638
1.554,5152,1638,5155,5374,5381,1638
1.564,5201,1638,5206,5411,5420,1638
1.574,5203,1638,5207,5376,5383,1638
1.584,5251,1638,5256,5453,5461,1638
1.594,5222,1638,5226,5440,5448,1638
1.604,5221,1638,5227,5408,5415,1638
1.614,5234,1638,5239,5420,5427,1638
1.624,5222,1638,5226,5424,5431,1638
1.634,5230,1638,5234,5417,5425,1638
1.644,5264,1638,5268,5422,5430,1638
1.654,5242,1638,5246,5422,5429,1638
1.664,5201,1638,5206,5426,5433,1638
1.674,5207,1638,5211,5409,5417,1638
1.684,5180,1638,5184,5368,5376,1638
1.694,5114,1638,5117,5340,5347,1638
1.704,5114,1638,5118,5342,5349,1638
1.714,5165,1638,5170,5358,5365,1638
1.724,5172,1638,5177,5359,5367,1638
1.734,5152,1638,5156,5352,5360,1638
1.744,5179,1638,5183,5380,5388,1638
1.754,5187,1638,5191,5395,5403,1638
1.764,5127,1638,5131,5364,5372,1638
1.774,5103,1638,5107,5358,5366,1638
1.784,5168,1638,5172,5378,5387,1638
1.794,5203,1638,5206,5369,5377,1638
1.804,5146,1638,5149,5345,5354,1638
1.814,5107,1638,5110,5314,5323,1638
1.824,5152,1638,5154,5339,5348,1638
1.834,5195,1638,5197,5381,5390,1638
1.844,5151,1638,5153,5334,5344,1638
1.854,5088,1638,5091,5301,5311,1638
1.864,5114,1638,5117,5351,5361,1638
1.874,5147,1638,5149,5372,5382,1638
1.884,5161,1638,5164,5360,5370,1638
1.894,5211,1638,5213,5387,5397,1638
1.904,5224,1638,5226,5415,5425,1638
1.914,5183,1638,5185,5370,5380,1638
1.924,5167,1638,5169,5305,5315,1638
1.934,5188,1638,5189,5320,5330,1638
1.944,5215,1638,5217,5393,5403,1638
1.954,5219,1638,5221,5424,5434,1638
1.964,5198,1638,5199,5426,5436,1638
1.974,5205,1638,5206,5425,5435,1638
1.984,5227,1638,5229,5402,5412,1638
1.994,5191,1638,5193,5383,5393,1638
2.004,5159,1638,5161,5391,5401,1638
2.014,5152,1638,5155,5386,5397,1638
2.024,5157,1638,5160,5367,5378,1638
2.034,5198,1638,5199,5354,5364,1638
2.044,5204,1638,5205,5369,5379,1638
2.054,5185,1638,5186,5388,5399,1638
